127.0.0.1 - - [07/May/2019:11:06:49 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [07/May/2019:11:06:51 +0900] "GET /HelloServlet/HelloServlet/HelloServlet HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [07/May/2019:11:07:31 +0900] "GET /HelloServlet/HelloServlet/HelloServlet HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [07/May/2019:11:15:58 +0900] "GET /HelloServlet/index.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [07/May/2019:11:18:05 +0900] "GET /HelloServlet/index.jsp HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [07/May/2019:11:27:08 +0900] "GET /HelloServlet/WEB-INF/web.xml HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [07/May/2019:11:28:41 +0900] "GET /HelloServlet/HelloServlet/HelloServlet HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [07/May/2019:11:28:57 +0900] "GET /HelloServlet/HelloServlet/HelloServlet HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [07/May/2019:11:29:07 +0900] "GET /HelloServlet/index.jsp HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [07/May/2019:11:29:08 +0900] "GET /HelloServlet/index.jsp HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [07/May/2019:11:29:27 +0900] "GET /HelloServlet/TestServlet?username=aaa&password=aaa HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [07/May/2019:11:29:42 +0900] "POST /HelloServlet/TestServlet HTTP/1.1" 200 55
